Size	Vacancy Energy (eV)	 Ratio
1	0.7105920401806003	0.19848947099736988
2	0.7171397276590028	0.2003184346647843
3	0.7139116023059842	0.19941672333479105
4	0.7150754554620562	0.19974182210343003
5	0.7156370256209357	0.19989868533501867
6	0.7163337772367413	0.20009330876424067
7	0.7174301803988783	0.20039956674539836
8	0.7185189223737325	0.20070368472930725
9	0.7196662472360913	0.20102416665439868
10	0.7291785686720686	0.20368124067580795
11	0.7295360807693214	0.20378110442750552
12	0.7296661413201946	0.20381743420391826
13	0.7297673770226538	0.20384571234368196
14	0.7298051518737338	0.20385626398201154
