Size	Vacancy Energy (eV)	 Ratio
1	0.8990400593996899	0.2511286022150411
2	0.808586908905994	0.22586234960267562
3	0.8070340693029721	0.22542859536125565
4	0.8070371120981008	0.2254294453043472
5	0.8070339516309559	0.2254285624919651
6	0.8070370156069657	0.2254294183515061
7	0.8070338605084544	0.22542853703874285
8	0.8070369381639466	0.22542939671936973
9	0.8070337648350687	0.22542851031432345
10	0.8070368543721997	0.2254293733138451
11	0.8070337601711799	0.22542850901156072
12	0.8070369007218687	0.22542938626068484
13	0.8070338660254492	0.22542853857980344
14	0.807037536673306	0.22542956390081764
