Size	Vacancy Energy (eV)	 Ratio
1	2.3416517913262407	0.8888057607780876
2	2.6308936780284	0.9985914497141868
3	2.626655160694611	0.996982662858095
4	2.626482242573047	0.9969170294350737
5	2.6264585892672585	0.9969080515014098
6	2.6264660627066405	0.9969108881468923
7	2.626491765798619	0.9969206441047614
8	2.626490584611929	0.9969201957693008
9	2.6264970179618103	0.9969226376346784
10	2.6264915418378223	0.9969205590973974
11	2.62655373128473	0.9969441639471346
12	2.6266681805136614	0.9969876047073568
13	2.6266509878259967	0.9969810789891026
14	2.627855347131117	0.9974382099307749
