Size	Vacancy Energy (eV)	 Ratio
1	2.3450744547134708	0.8901048791811921
2	2.6346038665924	0.9999997022056422
3	2.6346047937256003	1.0000000541116483
4	2.6346044136180353	0.9999999098366563
5	2.634604046937284	0.9999997706579938
6	2.634605043006559	1.000000148729624
7	2.634604693078927	1.0000000159098357
8	2.6346043730418387	0.9999998944354094
9	2.6346042073218996	0.9999998315341544
10	2.6346052026383404	1.000000209320036
11	2.63460494008541	1.000000109664503
12	2.6346047573133546	1.0000000402908855
13	2.6346060527248483	1.0000005319819227
14	2.634605871131498	1.000000463055699
