Cutoff (Ry),Energy (eV),Energy (Ry),Convergence Level (eV) (per atom),Convergence Level (Ry)(per atom) 
5,-3683.2707403152826,-252.04106018073838,1057.4114235209663,72.35718333554681
10,-4983.851280299968,-341.0379657191344,407.12115352862384,27.858730566348793
15,-5685.499358993273,-389.0507614368071,56.29711418197121,3.8523327075124354
20,-5778.626174557235,-395.42329904830723,9.733706399990297,0.6660639017623761
25,-5794.616215425939,-396.5174751588955,1.7386859656380693,0.1189758464682612
30,-5797.653092814111,-396.7252844269397,0.2202472715521253,0.015071212446131764
35,-5798.059022625505,-396.7530616356317,0.01728236585495324,0.0011826081001422534
40,-5798.078017132405,-396.7543614031465,0.0077851124051449005,0.0005327243427266984
45,-5798.082444970784,-396.75466439392784,0.005571193215473613,0.00038122895206435775
50,-5798.088649577273,-396.7550889664634,0.0024688899711691192,0.00016894268428114322
55,-5798.090315731059,-396.7552029790343,0.001635813078337378,0.00011193639881231712
60,-5798.090520904984,-396.7552170187988,0.0015332261154981097,0.00010491651656697397
65,-5798.091680382574,-396.755296360227,0.0009534873206575867,6.524580247034974e-05
70,-5798.093014285213,-396.75538763731714,0.00028653600111283595,1.960725740574981e-05
75,-5798.0935006889185,-396.75542092124175,4.333414835855365e-05,2.9652951043681246e-06
80,-5798.093587357215,-396.755426851832,0.0,0.0
