K-points,Total Force (eV/Angstrom),"Convergence Level (eV/Angstrom), Total",Time (s),Unique k
2,4.344728879844338,0.2453861774807784,3.401934862136841,5
4,4.202623954976749,0.10328125261318988,5.875492572784424,18
6,4.140017569586379,0.04067486722281988,11.641913890838623,46
8,4.116697655192513,0.017354952828953607,20.60086417198181,95
10,4.096231666374962,0.0031110359885975214,35.714614391326904,171
12,4.0968230203232086,0.0025196820403508013,58.5613648891449,280
14,4.094766137024962,0.004576565338597405,89.5210702419281,428
16,4.09893132570391,0.0004113766596489654,130.16823959350586,621
18,4.101116764208298,0.0017740618447383838,179.58491492271423,865
20,4.099342702363559,0.0,244.38491821289062,1166
