Cutoff (Ry),Energy Difference(eV),Energy Difference(Ry),Convergence Level (eV) (per atom),Convergence Level (Ry)(per atom) 
5,-1.4033096580483289,-0.09602651526672588,0.7004274590015029,0.04792927042103025
10,-7.644751805859414,-0.5231196634224315,3.8211485329070456,0.26147584449888306
15,4.310985840759713,0.2949947257030101,2.156720290402518,0.14758135006383777
20,0.021329924972633307,0.0014595769039823356,0.011892332508978143,0.0008137756643238619
25,0.019674247574585024,0.0013462812175822488,0.011064493809954001,0.0007571278211238185
30,-0.011587700928430422,-0.000792930151751194,0.004566480441553722,0.00031247786354290306
35,-0.0041359961542184465,-0.0002830204264385524,0.000840628054447734,5.752300088658222e-05
40,-0.002468753913490218,-0.00016893337404465676,7.0069340836198535e-06,4.794746896343896e-07
45,-0.0024110657550409087,-0.00016498585412539233,2.1837145141034853e-05,1.4942852699978176e-06
50,-0.002418004660285078,-0.0001654606736967835,1.8367692518950207e-05,1.2568754843022362e-06
55,-0.0024286171055791783,-0.00016618686847083536,1.3061469871900044e-05,8.937780972762995e-07
60,-0.002419909457785252,-0.0001655910163230039,1.7415293768863194e-05,1.191704171192032e-06
65,-0.0024204536857723724,-0.00016562825708224337,1.7143179775302997e-05,1.1730837915722987e-06
70,-0.00248303989701526,-0.00016991094389689845,1.4149925846140832e-05,9.682596157552326e-07
75,-0.0024577332987973932,-0.00016817924881008732,1.4966267372074071e-06,1.0241207234967079e-07
80,-0.0024547400453229784,-0.00016797442466538797,0.0,0.0
