Lattice Parameter (Å),Volume (Å^3),Energy (eV),Energy (Ry),Convergence Level (eV) (per atom),Convergence Level (Ry)(per atom) 
5.4,157.46400000000003,-5798.167698410923,-396.76049816748167,0.0404515771192564,0.0027680447900627486
5.426666666666667,159.80833896296298,-5798.207178201057,-396.7631997142489,0.020711682052024116,0.0014172714064651375
5.453333333333334,162.17583170370378,-5798.240004396667,-396.7654459648578,0.004298584246953396,0.0002941461020010752
5.48,164.56659200000004,-5798.26774886405,-396.76734447991856,0.009573649444519106,0.0006551114283792201
5.506666666666667,166.98073362962964,-5798.2895419269835,-396.7688357487048,0.02047018091116115,0.0014007458214974821
5.533333333333333,169.41837037037035,-5798.30686565416,-396.7700211871023,0.029132044499419862,0.001993465020233002
5.5600000000000005,171.87961600000006,-5798.3189031594675,-396.77084489673797,0.035150797153164604,0.0024053198380750394
5.586666666666667,174.36458429629633,-5798.326490785164,-396.77136410734175,0.03894461000163574,0.0026649251399579314
5.613333333333333,176.87338903703704,-5798.329582952164,-396.7715757000005,0.04049069350139689,0.0027707214693296874
5.64,179.40614399999998,-5798.328740623397,-396.7715180606222,0.04006952911777262,0.0027419017801884158
5.666666666666667,181.962962962963,-5798.324363942444,-396.77121857047194,0.03788118864122225,0.002592156705054741
5.693333333333333,184.5439597037037,-5798.3160254182685,-396.7706479769366,0.033711926553678495,0.0023068599373710446
5.72,187.14924799999997,-5798.3038778428645,-396.7698167353583,0.0276381388516711,0.0018912391482254613
5.746666666666666,189.77894162962957,-5798.28872245579,-396.7687796734383,0.02006044531435691,0.0013727081882380036
5.773333333333333,192.43315437037037,-5798.270371906579,-396.7675239710466,0.01088517070911621,0.0007448569923858296
5.8,195.112,-5798.248601565161,-396.76603425706185,0.0,0.0
